Day_of_Year,temperature_2m_min.p5,temperature_2m_min.p25,temperature_2m_min.p50,temperature_2m_min.p75,temperature_2m_min.p95,temperature_2m_max.p5,temperature_2m_max.p25,temperature_2m_max.p50,temperature_2m_max.p75,temperature_2m_max.p95,relative_humidity.p5,relative_humidity.p25,relative_humidity.p50,relative_humidity.p75,relative_humidity.p95,proba_wind.p5,proba_wind.p25,proba_wind.p50,proba_wind.p75,proba_wind.p95,proba_precipitation.p5,proba_precipitation.p25,proba_precipitation.p50,proba_precipitation.p75,proba_precipitation.p95,snow_depth.p5,snow_depth.p25,snow_depth.p50,snow_depth.p75,snow_depth.p95
295,2.37,6.02,7.90,10.26,12.67,9.52,11.83,13.54,15.28,17.44,93.26,95.22,96.23,97.29,98.47,1.36,20.00,46.81,65.45,85.90,5.99,29.33,41.66,57.33,78.00,0.00,0.00,0.00,0.00,0.03
296,2.21,6.00,7.88,10.17,12.49,9.29,11.72,13.46,15.16,17.32,93.19,95.22,96.28,97.32,98.51,1.82,19.09,45.91,65.00,86.81,5.99,29.33,42.66,57.66,78.67,0.00,0.00,0.00,0.00,0.04
297,1.98,5.83,7.84,10.07,12.28,9.12,11.64,13.31,15.00,17.12,93.23,95.23,96.27,97.34,98.56,1.82,19.09,45.00,65.00,86.81,6.66,29.33,43.00,58.33,79.00,0.00,0.00,0.00,0.00,0.04
298,1.74,5.77,7.76,9.96,12.25,8.97,11.55,13.21,14.89,17.00,93.27,95.25,96.30,97.38,98.57,1.82,19.54,44.09,63.63,86.81,7.33,30.00,43.66,58.33,79.00,0.00,0.00,0.00,0.00,0.04
299,1.60,5.58,7.58,9.81,12.25,8.84,11.43,13.09,14.71,16.81,93.36,95.28,96.32,97.43,98.59,2.27,20.00,42.72,61.81,86.36,8.00,31.00,44.33,58.66,79.00,0.00,0.00,0.00,0.00,0.04
300,1.51,5.39,7.41,9.66,12.15,8.65,11.34,12.91,14.52,16.58,93.44,95.36,96.37,97.48,98.61,2.27,20.00,41.36,59.99,85.90,8.99,31.33,44.33,58.66,79.33,0.00,0.00,0.00,0.00,0.04
301,1.29,5.17,7.26,9.52,12.11,8.48,11.23,12.74,14.34,16.45,93.55,95.46,96.47,97.54,98.66,2.72,20.00,40.00,59.54,85.45,9.66,31.66,44.33,58.66,80.00,0.00,0.00,0.00,0.00,0.04
302,1.16,5.04,7.15,9.40,11.90,8.28,11.07,12.63,14.20,16.32,93.66,95.50,96.51,97.57,98.67,3.18,20.00,39.09,59.54,84.54,10.33,31.33,44.00,58.00,80.00,0.00,0.00,0.00,0.00,0.04
303,1.06,4.93,6.98,9.18,11.65,8.03,10.91,12.52,14.06,16.21,93.76,95.56,96.57,97.61,98.68,3.63,19.54,39.09,58.63,83.18,11.00,31.33,43.00,57.33,80.00,0.00,0.00,0.00,0.00,0.04
304,0.88,4.83,6.88,9.03,11.55,7.88,10.74,12.39,13.94,16.12,93.79,95.61,96.62,97.62,98.69,3.18,19.09,39.09,58.18,82.27,12.00,30.66,42.33,57.00,79.33,0.00,0.00,0.00,0.00,0.04
305,0.90,4.70,6.77,8.95,11.56,7.69,10.54,12.24,13.84,16.02,93.91,95.65,96.67,97.65,98.70,2.27,19.09,39.09,57.72,81.81,12.66,30.00,42.00,56.66,78.33,0.00,0.00,0.00,0.00,0.04
306,0.79,4.61,6.74,8.94,11.49,7.54,10.39,12.17,13.80,15.96,94.03,95.74,96.72,97.71,98.72,1.82,19.09,39.09,58.63,81.81,13.33,29.66,41.00,56.33,76.66,0.00,0.00,0.00,0.00,0.04
307,0.61,4.50,6.67,8.92,11.42,7.31,10.19,12.03,13.70,15.87,94.06,95.74,96.74,97.73,98.68,1.82,19.09,38.63,58.18,81.81,13.66,28.99,40.33,55.66,75.00,0.00,0.00,0.00,0.00,0.04
308,0.51,4.31,6.60,8.78,11.24,7.12,10.01,11.92,13.55,15.80,94.01,95.73,96.74,97.73,98.67,1.82,19.09,37.27,58.18,82.27,13.66,28.00,39.66,55.33,73.33,0.00,0.00,0.00,0.00,0.04
309,0.44,4.11,6.52,8.65,11.10,6.92,9.83,11.77,13.42,15.65,93.96,95.73,96.80,97.77,98.68,2.27,19.09,35.90,58.18,82.72,13.33,27.33,38.66,54.66,71.33,0.00,0.00,0.00,0.00,0.04
310,0.19,4.04,6.47,8.60,11.03,6.72,9.67,11.64,13.30,15.51,94.04,95.80,96.87,97.81,98.70,3.18,19.09,35.00,57.27,83.63,12.66,26.66,38.33,54.33,69.33,0.00,0.00,0.00,0.00,0.04
311,0.06,3.85,6.30,8.42,10.88,6.63,9.43,11.48,13.11,15.26,94.11,95.85,96.93,97.87,98.75,3.63,19.09,34.09,56.36,84.09,12.33,25.99,38.00,53.66,67.00,0.00,0.00,0.00,0.00,0.04
312,-0.07,3.77,6.15,8.28,10.74,6.54,9.28,11.29,12.89,15.05,94.21,95.89,96.97,97.89,98.79,3.64,18.63,32.27,55.00,85.45,11.66,25.33,37.33,53.33,65.00,0.00,0.00,0.00,0.00,0.04
313,-0.21,3.64,5.94,8.17,10.68,6.43,9.17,11.11,12.79,14.82,94.25,95.93,97.04,97.92,98.82,3.18,17.27,30.45,54.54,86.81,11.00,24.00,37.00,53.33,63.33,0.00,0.00,0.00,0.00,0.04
314,-0.29,3.42,5.73,7.94,10.55,6.33,8.96,10.91,12.61,14.67,94.23,95.93,97.05,97.94,98.84,3.18,15.91,29.09,54.09,87.72,10.66,23.33,36.66,53.33,63.00,0.00,0.00,0.00,0.00,0.05
315,-0.44,3.22,5.54,7.69,10.25,6.10,8.68,10.70,12.40,14.40,94.25,95.93,97.02,97.95,98.88,3.18,15.00,27.72,53.18,88.18,10.33,23.00,36.00,53.66,62.67,0.00,0.00,0.00,0.00,0.04
316,-0.60,3.02,5.30,7.58,10.22,5.86,8.45,10.48,12.18,14.26,94.29,95.99,97.08,97.97,98.88,3.18,14.09,26.81,50.91,88.63,10.00,22.33,35.66,53.66,63.00,0.00,0.00,0.00,0.00,0.05
317,-0.64,2.92,5.07,7.44,10.21,5.80,8.30,10.39,12.03,14.13,94.29,96.07,97.14,98.01,98.88,3.18,13.18,26.36,50.00,89.54,10.00,22.33,35.33,53.66,63.33,0.00,0.00,0.00,0.00,0.06
318,-0.75,2.68,4.91,7.35,10.12,5.62,8.07,10.28,11.94,13.97,94.26,96.07,97.14,98.04,98.90,3.18,12.27,25.90,50.00,89.99,9.66,22.33,34.66,53.33,63.33,0.00,0.00,0.00,0.00,0.06
319,-0.88,2.54,4.88,7.28,9.90,5.49,7.95,10.17,11.91,13.86,94.20,96.09,97.17,98.05,98.90,2.27,11.82,24.54,49.54,90.45,10.00,21.66,34.33,53.00,63.66,0.00,0.00,0.00,0.00,0.07
320,-1.02,2.43,4.89,7.21,9.81,5.26,7.73,10.04,11.82,13.73,94.14,96.05,97.13,98.01,98.93,1.36,10.91,23.18,50.45,89.54,10.66,21.66,34.33,52.66,64.00,0.00,0.00,0.00,0.00,0.07
321,-1.18,2.38,4.85,7.15,9.65,5.09,7.58,9.92,11.72,13.60,94.13,96.07,97.13,98.02,98.91,0.45,10.00,23.18,50.00,88.63,11.00,22.00,34.33,52.66,64.66,0.00,0.00,0.00,0.00,0.07
322,-1.34,2.25,4.75,7.10,9.63,4.86,7.52,9.81,11.64,13.49,94.13,96.10,97.20,98.08,98.95,0.00,9.54,24.09,50.00,87.26,11.00,22.66,34.33,52.33,65.66,0.00,0.00,0.00,0.00,0.09
323,-1.61,2.12,4.65,7.01,9.51,4.62,7.37,9.67,11.48,13.38,94.12,96.12,97.22,98.08,98.95,0.00,9.54,25.00,49.54,86.36,10.66,24.00,34.33,52.00,66.00,0.00,0.00,0.00,0.00,0.12
324,-1.69,1.93,4.57,6.87,9.39,4.44,7.20,9.49,11.37,13.33,94.18,96.11,97.23,98.08,98.95,0.00,9.09,24.54,50.00,85.90,9.66,24.66,34.33,51.33,66.00,0.00,0.00,0.00,0.00,0.18
325,-1.94,1.65,4.35,6.69,9.13,4.19,6.97,9.24,11.20,13.19,94.20,96.12,97.24,98.09,98.97,0.00,8.63,24.54,50.91,84.99,8.66,24.66,34.66,50.33,67.00,0.00,0.00,0.00,0.00,0.21
326,-2.27,1.39,4.10,6.52,8.97,3.84,6.75,9.05,11.04,13.04,94.17,96.15,97.30,98.10,98.97,0.00,8.63,23.63,53.63,84.08,8.00,24.66,35.33,49.66,68.00,0.00,0.00,0.00,0.00,0.26
327,-2.45,1.15,3.86,6.36,8.92,3.55,6.55,8.81,10.82,12.87,94.18,96.17,97.34,98.15,99.00,0.00,8.63,22.27,56.36,83.63,7.00,24.00,36.00,49.00,69.00,0.00,0.00,0.00,0.00,0.31
328,-2.66,1.02,3.59,6.20,8.88,3.35,6.38,8.58,10.62,12.72,94.24,96.24,97.38,98.19,99.02,0.00,8.63,21.36,58.63,83.18,6.33,23.66,36.00,48.66,70.33,0.00,0.00,0.00,0.00,0.39
329,-2.75,0.91,3.38,5.99,8.72,3.24,6.24,8.36,10.40,12.66,94.35,96.29,97.38,98.19,99.04,0.00,8.18,22.27,61.36,82.72,5.33,24.00,35.66,48.66,70.66,0.00,0.00,0.00,0.00,0.50
330,-2.79,0.76,3.18,5.81,8.62,3.10,6.06,8.16,10.27,12.56,94.25,96.24,97.37,98.18,99.04,0.00,8.63,23.18,63.63,83.63,4.00,24.00,35.33,48.33,70.66,0.00,0.00,0.00,0.00,0.60
331,-2.90,0.61,3.02,5.74,8.61,2.85,5.97,7.94,10.19,12.53,94.26,96.22,97.37,98.16,99.02,0.00,9.09,24.09,66.36,84.99,3.00,24.00,35.66,47.66,70.33,0.00,0.00,0.00,0.00,0.69
332,-3.07,0.35,2.92,5.62,8.56,2.58,5.81,7.85,10.12,12.52,94.16,96.18,97.39,98.19,99.04,0.00,9.54,25.00,67.72,85.90,2.66,23.66,36.33,47.33,69.33,0.00,0.00,0.00,0.00,0.79
333,-3.16,0.24,2.85,5.49,8.46,2.38,5.58,7.74,10.00,12.45,94.10,96.14,97.32,98.19,99.07,0.00,10.00,26.36,69.54,86.36,2.66,23.66,37.33,47.66,68.66,0.00,0.00,0.00,0.00,0.88
334,-3.22,0.15,2.77,5.37,8.37,2.29,5.48,7.66,9.89,12.37,94.06,96.12,97.31,98.20,99.08,0.00,10.91,29.09,70.00,85.90,3.33,23.66,38.33,48.33,67.66,0.00,0.00,0.00,0.00,0.94
335,-3.24,0.05,2.67,5.24,8.44,2.22,5.44,7.57,9.87,12.38,94.06,96.13,97.35,98.21,99.07,0.00,12.27,30.90,69.54,86.36,4.66,24.00,38.67,48.33,66.00,0.00,0.00,0.00,0.00,1.17
336,-3.36,-0.10,2.59,5.09,8.24,2.10,5.37,7.49,9.78,12.28,94.16,96.16,97.35,98.21,99.07,0.00,13.18,33.18,68.18,86.81,6.33,24.00,38.67,48.66,64.66,0.00,0.00,0.00,0.00,1.53
337,-3.60,-0.28,2.51,5.01,8.15,1.89,5.23,7.38,9.72,12.17,94.24,96.20,97.37,98.19,99.07,0.00,14.09,35.00,66.81,85.90,7.66,24.66,38.33,49.33,63.66,0.00,0.00,0.00,0.00,1.91
338,-3.61,-0.35,2.47,4.89,8.15,1.70,5.18,7.26,9.61,12.11,94.37,96.27,97.42,98.21,99.07,0.45,14.54,36.36,65.00,84.09,8.66,25.00,38.33,49.66,63.33,0.00,0.00,0.00,0.00,2.13
339,-3.63,-0.34,2.34,4.76,8.27,1.46,5.01,7.17,9.56,12.09,94.40,96.26,97.43,98.23,99.10,0.91,15.45,37.27,62.72,82.72,9.00,25.00,39.00,50.00,63.67,0.00,0.00,0.00,0.00,2.25
340,-3.70,-0.33,2.25,4.77,8.25,1.43,4.94,7.13,9.55,12.10,94.48,96.31,97.50,98.28,99.09,0.91,15.45,37.72,60.45,80.90,9.33,24.66,39.33,50.66,64.00,0.00,0.00,0.00,0.00,2.36
341,-3.78,-0.38,2.16,4.77,8.37,1.34,4.82,7.08,9.56,12.13,94.48,96.39,97.53,98.28,99.10,0.91,15.45,37.72,58.63,78.63,9.33,24.33,39.33,51.00,65.00,0.00,0.00,0.00,0.00,2.46
342,-3.84,-0.49,2.12,4.75,8.40,1.29,4.64,7.02,9.51,12.15,94.42,96.39,97.51,98.27,99.09,0.91,15.45,37.72,58.18,76.81,9.66,24.33,39.33,51.33,66.67,0.00,0.00,0.00,0.00,2.56
343,-3.88,-0.59,2.08,4.76,8.58,1.19,4.64,7.01,9.50,12.10,94.42,96.41,97.53,98.28,99.11,0.91,15.45,36.81,57.27,75.90,10.00,23.66,39.00,50.66,68.67,0.00,0.00,0.00,0.00,2.63
344,-4.08,-0.58,2.05,4.79,8.78,1.01,4.68,7.02,9.56,12.14,94.45,96.46,97.57,98.32,99.13,0.91,15.45,36.36,57.72,75.90,9.99,23.66,38.67,50.66,70.33,0.00,0.00,0.00,0.00,2.72
345,-4.34,-0.53,2.16,4.78,8.80,0.90,4.74,7.07,9.58,12.20,94.48,96.44,97.57,98.35,99.15,1.36,15.00,36.81,59.09,75.45,8.99,24.00,38.67,51.66,71.33,0.00,0.00,0.00,0.00,2.83
346,-4.32,-0.47,2.33,4.82,8.86,0.86,4.74,7.13,9.64,12.19,94.51,96.49,97.58,98.37,99.16,1.82,15.00,37.27,59.54,75.90,7.33,24.66,38.67,52.00,72.00,0.00,0.00,0.00,0.00,2.98
347,-4.26,-0.35,2.52,4.96,8.87,0.83,4.77,7.24,9.73,12.21,94.55,96.56,97.61,98.39,99.20,1.82,15.45,39.08,59.54,77.27,6.00,24.33,39.33,52.00,73.00,0.00,0.00,0.00,0.00,3.17
348,-4.25,-0.24,2.70,5.04,8.89,0.78,4.88,7.41,9.84,12.21,94.56,96.57,97.65,98.41,99.20,1.82,16.81,40.45,60.00,79.54,5.00,24.00,40.33,52.33,73.33,0.00,0.00,0.00,0.00,3.35
349,-4.26,-0.15,2.81,5.16,9.07,0.67,5.03,7.55,9.97,12.21,94.50,96.56,97.66,98.43,99.20,1.36,17.72,41.36,60.91,81.36,4.66,23.33,40.67,52.66,73.66,0.00,0.00,0.00,0.00,3.47
350,-4.38,-0.14,2.87,5.15,9.03,0.53,5.03,7.59,9.99,12.19,94.56,96.60,97.67,98.45,99.22,1.36,19.09,43.18,62.27,83.18,4.66,22.66,40.33,53.33,74.00,0.00,0.00,0.00,0.00,3.61
351,-4.57,-0.06,2.92,5.09,9.06,0.58,5.03,7.66,9.89,12.15,94.65,96.62,97.67,98.44,99.25,1.82,20.90,44.09,63.63,85.45,4.66,22.33,39.67,54.33,74.00,0.00,0.00,0.00,0.00,3.73
352,-4.41,0.01,2.90,5.13,9.06,0.66,4.98,7.69,9.89,12.13,94.67,96.66,97.65,98.42,99.25,2.27,22.27,45.00,65.00,87.72,4.33,22.00,38.67,55.66,74.00,0.00,0.00,0.00,0.00,3.88
353,-4.38,-0.12,2.87,5.20,9.09,0.67,5.00,7.67,9.85,12.07,94.73,96.75,97.71,98.45,99.25,2.27,23.63,47.27,66.82,89.08,4.00,22.00,37.67,57.00,73.33,0.00,0.00,0.00,0.00,3.97
354,-4.37,-0.11,2.95,5.22,9.02,0.58,4.92,7.68,9.85,12.10,94.76,96.78,97.74,98.45,99.27,2.27,24.54,48.63,67.27,89.99,3.33,21.66,37.00,57.00,73.66,0.00,0.00,0.00,0.00,3.98
355,-4.35,-0.08,3.05,5.29,9.11,0.60,4.91,7.77,9.89,12.14,94.82,96.80,97.75,98.46,99.31,1.82,25.45,49.54,67.72,90.90,3.33,21.33,36.66,56.66,74.00,0.00,0.00,0.00,0.01,3.87
356,-4.26,0.01,3.18,5.46,9.40,0.68,4.95,7.88,10.03,12.25,94.83,96.82,97.74,98.46,99.34,1.36,25.45,49.54,69.09,90.90,3.33,21.33,36.00,57.00,74.00,0.00,0.00,0.00,0.01,3.58
357,-4.10,0.20,3.25,5.50,9.43,0.65,5.06,7.87,10.08,12.31,94.80,96.76,97.70,98.45,99.33,1.82,24.54,48.18,70.45,90.90,3.33,21.66,35.00,57.00,74.00,0.00,0.00,0.00,0.01,3.26
358,-4.06,0.19,3.22,5.46,9.36,0.74,5.04,7.84,10.08,12.34,94.68,96.73,97.67,98.42,99.30,1.36,22.72,47.72,71.81,89.99,3.33,22.00,34.33,57.00,73.66,0.00,0.00,0.00,0.01,3.11
359,-4.08,0.10,3.25,5.54,9.26,0.77,5.04,7.93,10.07,12.32,94.61,96.72,97.65,98.40,99.29,1.36,21.81,47.27,73.18,89.54,3.33,22.66,34.33,56.66,73.33,0.00,0.00,0.00,0.01,3.04
360,-4.13,0.01,3.21,5.46,9.27,0.69,5.05,7.90,9.99,12.25,94.54,96.71,97.61,98.37,99.27,1.36,20.45,46.81,73.63,89.08,3.00,23.66,34.66,55.33,73.66,0.00,0.00,0.00,0.01,3.00
361,-4.09,-0.02,3.19,5.37,9.14,0.67,5.03,7.93,9.95,12.19,94.52,96.66,97.59,98.36,99.25,0.91,18.18,47.72,73.63,89.08,3.33,24.33,35.33,54.00,73.66,0.00,0.00,0.00,0.01,2.95
362,-4.18,-0.02,3.16,5.29,9.01,0.61,5.04,7.93,9.93,12.11,94.62,96.69,97.58,98.33,99.23,0.45,16.36,48.18,72.72,88.63,3.66,25.00,36.33,52.66,73.33,0.00,0.00,0.00,0.01,3.02
363,-4.29,0.04,3.20,5.29,8.92,0.60,4.96,7.99,9.93,12.11,94.53,96.58,97.54,98.32,99.24,0.45,15.00,47.27,71.36,88.18,4.00,25.66,37.33,52.00,73.00,0.00,0.00,0.00,0.01,3.14
364,-4.10,0.08,3.24,5.26,8.72,0.69,4.92,8.05,9.90,12.03,94.45,96.57,97.49,98.29,99.23,0.45,14.54,46.81,70.90,88.18,5.33,26.33,38.66,52.66,72.00,0.00,0.00,0.00,0.01,3.21
365,-3.91,0.09,3.23,5.27,8.83,0.67,4.93,8.08,9.92,12.00,94.45,96.57,97.47,98.25,99.21,0.45,15.00,45.90,71.36,87.72,6.00,27.33,39.33,53.33,71.33,0.00,0.00,0.00,0.01,3.29
