Day_of_Year,temperature_2m_min.p5,temperature_2m_min.p25,temperature_2m_min.p50,temperature_2m_min.p75,temperature_2m_min.p95,temperature_2m_max.p5,temperature_2m_max.p25,temperature_2m_max.p50,temperature_2m_max.p75,temperature_2m_max.p95,relative_humidity.p5,relative_humidity.p25,relative_humidity.p50,relative_humidity.p75,relative_humidity.p95,proba_wind.p5,proba_wind.p25,proba_wind.p50,proba_wind.p75,proba_wind.p95,proba_precipitation.p5,proba_precipitation.p25,proba_precipitation.p50,proba_precipitation.p75,proba_precipitation.p95,snow_depth.p5,snow_depth.p25,snow_depth.p50,snow_depth.p75,snow_depth.p95
250,6.86,8.96,10.03,11.16,13.32,12.61,14.65,15.89,17.79,21.16,91.75,93.86,95.55,97.16,98.90,0.00,0.00,5.00,17.27,25.90,11.33,23.00,35.66,59.33,77.66,0.00,0.00,0.00,0.00,0.00
251,6.70,8.77,9.89,11.10,13.18,12.42,14.49,15.77,17.74,20.94,91.84,93.91,95.47,97.07,98.90,0.00,0.00,5.91,18.18,28.18,11.33,22.66,35.33,59.66,77.33,0.00,0.00,0.00,0.00,0.00
252,6.58,8.62,9.72,10.98,13.11,12.25,14.35,15.66,17.60,20.91,91.77,93.90,95.45,97.06,98.89,0.00,0.00,6.82,19.09,30.00,11.33,22.00,35.00,60.00,76.66,0.00,0.00,0.00,0.00,0.00
253,6.41,8.46,9.61,10.91,13.13,12.10,14.23,15.57,17.54,20.87,91.86,93.93,95.53,97.05,98.88,0.00,0.00,7.27,20.00,30.90,11.33,22.33,34.66,60.00,75.66,0.00,0.00,0.00,0.00,0.00
254,6.34,8.30,9.53,10.88,13.11,11.99,14.08,15.46,17.44,20.68,91.96,94.01,95.52,97.04,98.87,0.00,0.00,7.72,19.09,30.90,11.33,23.00,34.33,60.00,75.00,0.00,0.00,0.00,0.00,0.00
255,6.33,8.20,9.45,10.82,13.03,11.79,13.98,15.32,17.37,20.65,92.09,94.12,95.58,97.08,98.89,0.00,0.00,7.73,18.18,30.45,11.66,23.33,33.66,59.00,73.67,0.00,0.00,0.00,0.00,0.00
256,6.19,8.08,9.35,10.75,13.01,11.51,13.78,15.17,17.24,20.60,92.19,94.24,95.68,97.19,98.94,0.00,0.00,7.72,17.27,30.00,11.33,23.66,33.66,57.66,72.33,0.00,0.00,0.00,0.00,0.00
257,6.11,7.99,9.26,10.70,12.95,11.33,13.60,15.00,17.17,20.50,92.23,94.28,95.71,97.26,99.02,0.00,0.00,7.27,15.91,30.45,11.66,24.00,33.66,55.66,71.66,0.00,0.00,0.00,0.00,0.00
258,6.04,7.85,9.17,10.62,12.86,11.27,13.48,14.87,17.09,20.40,92.25,94.34,95.76,97.27,99.05,0.00,0.00,6.36,14.54,30.90,12.00,24.00,33.33,53.66,70.66,0.00,0.00,0.00,0.00,0.00
259,5.98,7.76,9.07,10.54,12.75,11.09,13.37,14.80,16.94,20.40,92.30,94.39,95.78,97.26,99.04,0.00,0.00,5.45,13.18,31.36,12.00,24.66,33.00,51.66,70.00,0.00,0.00,0.00,0.00,0.00
260,5.77,7.63,8.97,10.48,12.73,10.87,13.28,14.71,16.78,20.30,92.39,94.49,95.87,97.31,99.07,0.00,0.00,4.54,11.82,30.90,12.00,25.33,33.00,49.66,69.66,0.00,0.00,0.00,0.00,0.00
261,5.57,7.56,8.93,10.46,12.68,10.72,13.18,14.60,16.68,20.18,92.53,94.59,95.90,97.32,99.08,0.00,0.00,4.09,10.91,29.99,12.33,25.99,33.66,48.33,69.33,0.00,0.00,0.00,0.00,0.00
262,5.38,7.50,8.87,10.35,12.58,10.51,13.02,14.44,16.50,20.07,92.55,94.70,95.94,97.42,99.11,0.00,0.00,3.18,10.00,29.09,12.33,26.33,34.00,47.00,69.33,0.00,0.00,0.00,0.00,0.00
263,5.16,7.31,8.74,10.32,12.46,10.29,12.87,14.27,16.31,19.87,92.57,94.79,95.98,97.46,99.13,0.00,0.00,2.27,9.09,28.63,12.33,26.33,34.33,46.33,69.33,0.00,0.00,0.00,0.00,0.00
264,4.98,7.11,8.59,10.21,12.39,10.16,12.71,14.09,16.11,19.66,92.59,94.85,95.96,97.44,99.13,0.00,0.00,1.82,10.00,28.63,12.33,26.33,34.33,46.33,69.33,0.00,0.00,0.00,0.00,0.00
265,4.75,6.95,8.44,10.08,12.24,9.85,12.48,13.85,15.91,19.45,92.66,94.86,95.99,97.43,99.10,0.00,0.00,1.82,10.91,28.63,11.33,26.33,35.00,47.33,70.33,0.00,0.00,0.00,0.00,0.00
266,4.39,6.73,8.34,10.03,12.14,9.53,12.20,13.65,15.68,19.26,92.68,94.89,96.09,97.53,99.12,0.00,0.00,2.27,11.82,28.63,10.66,26.66,35.33,48.66,71.33,0.00,0.00,0.00,0.00,0.00
267,4.13,6.55,8.19,9.94,12.15,9.32,12.03,13.54,15.51,18.98,92.82,94.96,96.16,97.62,99.15,0.00,0.00,3.18,12.73,28.63,9.66,27.00,35.66,50.66,71.00,0.00,0.00,0.00,0.00,0.00
268,3.91,6.40,8.05,9.86,12.09,9.14,11.85,13.43,15.39,18.62,92.86,95.01,96.22,97.63,99.19,0.00,0.00,4.09,13.64,28.63,8.33,27.33,36.66,52.33,70.66,0.00,0.00,0.00,0.00,0.00
269,3.71,6.28,7.91,9.77,11.91,8.89,11.73,13.37,15.19,18.24,92.99,95.03,96.29,97.65,99.20,0.00,0.00,5.00,14.54,28.63,7.33,27.33,37.66,53.33,70.33,0.00,0.00,0.00,0.00,0.00
270,3.54,6.18,7.83,9.69,11.67,8.64,11.60,13.26,15.05,17.84,93.10,95.07,96.38,97.70,99.21,0.00,0.00,5.91,15.45,29.09,6.33,27.00,38.66,53.66,69.66,0.00,0.00,0.00,0.00,0.00
271,3.39,6.12,7.72,9.58,11.60,8.52,11.51,13.09,14.85,17.74,93.07,95.12,96.46,97.79,99.24,0.00,0.00,6.36,15.91,29.54,5.33,26.33,39.66,53.66,69.33,0.00,0.00,0.00,0.00,0.00
272,3.24,6.00,7.67,9.48,11.49,8.31,11.37,12.92,14.67,17.52,93.08,95.17,96.55,97.88,99.29,0.00,0.00,6.82,16.82,30.45,4.66,26.00,41.00,53.66,68.66,0.00,0.00,0.00,0.00,0.00
273,3.17,5.87,7.51,9.36,11.32,8.16,11.19,12.76,14.47,17.33,93.11,95.20,96.60,97.93,99.31,0.00,0.00,7.27,17.27,31.81,4.00,25.66,41.66,53.33,68.33,0.00,0.00,0.00,0.00,0.00
274,3.00,5.72,7.36,9.20,11.18,8.04,10.96,12.57,14.32,17.19,93.12,95.23,96.65,97.94,99.30,0.00,0.00,7.27,16.36,32.72,3.33,25.33,42.33,52.66,68.00,0.00,0.00,0.00,0.00,0.00
275,2.78,5.55,7.22,9.09,10.98,7.87,10.71,12.44,14.12,16.99,93.10,95.24,96.67,97.95,99.30,0.00,0.00,7.27,15.45,33.63,3.33,25.00,42.33,51.66,67.66,0.00,0.00,0.00,0.00,0.00
276,2.55,5.33,7.04,8.98,10.87,7.71,10.51,12.28,13.93,16.87,93.05,95.17,96.66,97.91,99.26,0.00,0.00,6.82,14.54,34.08,3.66,24.66,41.66,50.66,67.66,0.00,0.00,0.00,0.00,0.00
277,2.24,5.02,6.87,8.84,10.80,7.45,10.23,12.12,13.73,16.80,93.10,95.21,96.70,97.93,99.22,0.00,0.00,5.91,13.63,34.08,3.66,24.33,41.66,48.66,68.33,0.00,0.00,0.00,0.00,0.00
278,1.99,4.80,6.71,8.71,10.76,7.18,9.97,11.91,13.48,16.60,93.24,95.26,96.73,97.97,99.21,0.00,0.00,5.00,12.73,34.08,4.00,24.00,41.33,47.33,69.00,0.00,0.00,0.00,0.00,0.00
279,1.78,4.60,6.51,8.56,10.67,6.93,9.69,11.64,13.25,16.39,93.22,95.25,96.75,98.04,99.24,0.00,0.00,4.09,11.82,34.08,4.66,24.00,41.00,47.00,69.33,0.00,0.00,0.00,0.00,0.00
280,1.57,4.38,6.35,8.42,10.55,6.67,9.38,11.30,13.00,16.17,93.27,95.29,96.80,98.11,99.25,0.00,0.00,3.18,10.91,34.08,5.33,25.00,41.33,47.33,69.33,0.00,0.00,0.00,0.00,0.02
281,1.34,4.12,6.12,8.21,10.47,6.44,9.13,11.02,12.70,16.00,93.36,95.35,96.88,98.17,99.26,0.00,0.00,2.27,10.45,33.63,6.33,26.33,41.33,48.00,69.33,0.00,0.00,0.00,0.00,0.03
282,1.12,3.78,5.86,7.99,10.22,6.25,8.87,10.76,12.46,15.62,93.47,95.42,96.95,98.17,99.28,0.00,0.00,2.27,9.54,31.81,7.33,27.99,42.00,48.66,69.33,0.00,0.00,0.00,0.00,0.04
283,0.90,3.59,5.62,7.75,10.07,6.02,8.65,10.53,12.18,15.35,93.49,95.54,97.09,98.25,99.31,0.00,0.00,2.72,9.09,29.54,8.33,29.33,43.33,50.00,69.66,0.00,0.00,0.00,0.00,0.04
284,0.69,3.39,5.53,7.61,9.92,5.74,8.42,10.31,12.00,15.06,93.53,95.61,97.22,98.36,99.35,0.00,0.00,3.18,9.54,27.72,9.66,30.66,44.66,51.66,70.00,0.00,0.00,0.00,0.00,0.04
285,0.50,3.23,5.42,7.53,9.82,5.57,8.23,10.10,11.82,14.78,93.62,95.72,97.28,98.47,99.39,0.00,0.00,3.63,10.45,25.90,11.00,31.99,46.00,53.33,70.33,0.00,0.00,0.00,0.00,0.05
286,0.47,3.19,5.31,7.37,9.71,5.44,8.12,9.97,11.64,14.57,93.55,95.80,97.34,98.48,99.41,0.00,0.00,4.09,11.36,25.45,12.00,32.99,48.00,54.66,70.33,0.00,0.00,0.00,0.00,0.14
287,0.39,3.06,5.21,7.29,9.59,5.28,7.92,9.76,11.52,14.47,93.50,95.81,97.36,98.52,99.44,0.00,0.00,5.00,12.27,25.90,13.00,34.33,49.00,56.66,70.66,0.00,0.00,0.00,0.00,0.21
288,0.22,2.88,5.07,7.18,9.47,5.11,7.68,9.54,11.34,14.31,93.48,95.87,97.42,98.60,99.46,0.00,0.00,5.91,13.18,26.81,13.66,35.33,49.66,58.00,71.66,0.00,0.00,0.00,0.00,0.24
289,0.05,2.74,4.97,7.06,9.35,5.01,7.53,9.38,11.19,14.16,93.53,95.95,97.50,98.64,99.49,0.00,0.00,6.82,14.09,28.18,14.00,36.33,50.33,59.00,73.00,0.00,0.00,0.00,0.00,0.31
290,-0.11,2.57,4.92,6.99,9.32,4.94,7.28,9.28,11.09,14.05,93.66,96.05,97.59,98.73,99.51,0.00,0.00,7.73,15.00,29.09,14.33,36.33,50.33,60.00,74.33,0.00,0.00,0.00,0.00,0.34
291,-0.24,2.43,4.82,6.89,9.29,4.68,7.12,9.12,11.01,13.92,93.67,96.20,97.66,98.79,99.53,0.00,0.00,8.63,15.91,30.45,14.33,36.33,50.33,60.67,75.33,0.00,0.00,0.00,0.00,0.51
292,-0.44,2.28,4.76,6.84,9.27,4.47,6.94,8.98,10.96,13.81,93.86,96.27,97.70,98.81,99.55,0.00,0.00,8.64,16.82,33.18,14.33,36.00,49.00,61.00,76.00,0.00,0.00,0.00,0.00,0.69
293,-0.71,2.09,4.71,6.75,9.17,4.22,6.72,8.80,10.80,13.67,93.84,96.35,97.74,98.83,99.57,0.00,0.00,7.73,17.27,35.45,14.33,35.66,48.00,60.66,75.66,0.00,0.00,0.00,0.00,0.89
294,-0.88,1.93,4.60,6.67,9.11,3.98,6.59,8.67,10.68,13.51,93.68,96.42,97.77,98.86,99.60,0.00,0.00,7.27,16.82,37.27,14.00,35.33,47.00,59.66,75.33,0.00,0.00,0.00,0.00,1.05
295,-1.03,1.74,4.53,6.56,9.10,3.82,6.52,8.51,10.53,13.29,93.74,96.56,97.87,98.91,99.61,0.00,0.00,6.82,15.91,38.63,13.33,35.00,46.00,59.00,74.33,0.00,0.00,0.00,0.00,1.13
296,-1.19,1.66,4.52,6.50,9.02,3.65,6.36,8.41,10.45,12.98,93.81,96.74,97.97,98.99,99.65,0.00,0.00,5.91,15.00,38.63,12.33,34.33,45.00,58.33,73.00,0.00,0.00,0.00,0.01,1.31
297,-1.33,1.67,4.49,6.51,9.00,3.48,6.27,8.31,10.35,12.71,93.86,96.92,98.10,99.08,99.71,0.00,0.00,5.00,14.09,36.81,12.00,33.66,44.66,57.66,71.66,0.00,0.00,0.00,0.02,1.52
298,-1.52,1.60,4.45,6.45,8.88,3.34,6.12,8.20,10.19,12.54,93.97,97.02,98.19,99.14,99.76,0.00,0.00,4.09,13.18,34.54,12.00,33.33,44.66,56.66,70.33,0.00,0.00,0.00,0.02,1.72
299,-1.56,1.45,4.43,6.38,8.83,3.16,6.00,8.04,10.06,12.30,94.06,97.16,98.30,99.17,99.76,0.00,0.00,3.18,11.82,31.36,12.00,33.00,44.00,55.66,69.33,0.00,0.00,0.00,0.02,1.89
300,-1.59,1.36,4.38,6.30,8.71,3.05,5.85,7.96,9.91,12.07,94.14,97.26,98.36,99.20,99.77,0.00,0.00,2.27,10.45,29.09,11.66,33.66,44.00,54.66,68.00,0.00,0.00,0.00,0.03,2.08
301,-1.63,1.28,4.26,6.27,8.52,2.81,5.63,7.86,9.83,11.86,94.20,97.32,98.42,99.25,99.79,0.00,0.00,1.36,9.54,26.36,11.33,34.00,44.00,54.00,66.66,0.00,0.00,0.00,0.05,2.37
302,-1.75,1.22,4.19,6.28,8.52,2.57,5.52,7.75,9.74,11.89,94.36,97.39,98.47,99.30,99.78,0.00,0.00,0.91,8.18,23.63,11.00,34.66,44.66,53.33,65.66,0.00,0.00,0.00,0.08,2.81
303,-1.95,1.13,4.16,6.28,8.42,2.26,5.40,7.67,9.67,11.77,94.54,97.43,98.50,99.29,99.78,0.00,0.00,0.91,7.27,21.81,10.66,35.33,44.33,52.66,65.33,0.00,0.00,0.00,0.09,3.25
304,-2.14,1.08,4.06,6.22,8.34,2.01,5.29,7.61,9.57,11.67,94.66,97.46,98.49,99.30,99.77,0.00,0.00,0.45,6.36,20.91,10.33,36.00,44.00,52.33,64.66,0.00,0.00,0.00,0.11,3.77
305,-2.26,0.98,3.91,6.13,8.25,1.81,5.05,7.51,9.41,11.59,94.58,97.48,98.53,99.29,99.78,0.00,0.00,0.00,5.91,20.45,10.33,36.67,43.66,52.00,65.00,0.00,0.00,0.00,0.12,4.39
306,-2.54,0.78,3.74,6.05,8.26,1.60,4.88,7.32,9.26,11.54,94.68,97.51,98.52,99.28,99.78,0.00,0.00,0.00,5.45,20.91,11.00,37.67,44.00,51.33,65.33,0.00,0.00,0.00,0.15,4.92
307,-2.81,0.67,3.62,5.91,8.12,1.36,4.75,7.16,9.12,11.46,94.86,97.61,98.57,99.28,99.77,0.00,0.00,0.00,5.91,22.72,11.67,38.00,44.00,51.33,65.33,0.00,0.00,0.00,0.18,5.46
308,-2.99,0.53,3.52,5.79,8.00,1.19,4.64,7.02,8.99,11.31,95.01,97.65,98.59,99.28,99.77,0.00,0.00,0.00,5.90,24.54,11.67,38.00,43.66,51.66,65.33,0.00,0.00,0.00,0.21,5.94
309,-3.05,0.41,3.39,5.69,7.88,0.98,4.41,6.83,8.84,11.16,94.96,97.68,98.61,99.29,99.76,0.00,0.00,0.00,6.36,26.36,11.33,38.00,44.00,51.66,65.00,0.00,0.00,0.00,0.26,6.33
310,-3.12,0.30,3.26,5.59,7.76,0.79,4.39,6.69,8.68,10.99,94.95,97.67,98.61,99.29,99.77,0.00,0.00,0.00,6.82,28.18,11.00,37.33,43.66,51.66,65.33,0.00,0.00,0.00,0.29,6.74
311,-3.25,0.18,3.18,5.50,7.60,0.73,4.19,6.61,8.54,10.81,95.16,97.68,98.63,99.30,99.77,0.00,0.00,0.00,7.27,30.45,11.00,37.00,43.00,51.33,66.33,0.00,0.00,0.00,0.31,6.89
312,-3.32,0.08,3.03,5.34,7.49,0.65,4.04,6.46,8.33,10.59,95.12,97.72,98.69,99.33,99.78,0.00,0.00,0.00,8.18,31.81,11.66,36.00,42.33,51.33,67.33,0.00,0.00,0.00,0.32,6.96
313,-3.35,0.02,2.92,5.20,7.39,0.52,3.97,6.30,8.20,10.48,95.22,97.76,98.76,99.37,99.79,0.00,0.00,0.45,8.63,32.72,12.00,34.66,42.33,51.66,68.33,0.00,0.00,0.00,0.34,6.94
314,-3.48,-0.07,2.83,5.08,7.37,0.40,3.78,6.11,8.02,10.41,95.44,97.73,98.82,99.40,99.79,0.00,0.00,0.45,10.45,33.63,12.33,33.66,42.00,52.00,69.00,0.00,0.00,0.00,0.40,6.97
315,-3.69,-0.20,2.66,4.88,7.23,0.16,3.51,5.88,7.81,10.25,95.40,97.69,98.80,99.40,99.79,0.00,0.00,0.45,11.36,34.54,12.66,32.33,41.66,52.33,68.66,0.00,0.00,0.01,0.48,7.15
316,-3.86,-0.36,2.45,4.64,7.09,-0.02,3.27,5.58,7.55,10.11,95.42,97.65,98.78,99.42,99.80,0.00,0.00,0.45,12.72,34.54,12.66,31.66,40.66,53.33,68.66,0.00,0.00,0.02,0.62,7.23
317,-3.98,-0.59,2.22,4.42,6.89,-0.20,3.07,5.38,7.33,9.93,95.32,97.61,98.76,99.42,99.80,0.00,0.00,0.91,12.72,34.08,13.00,31.33,40.00,53.33,68.66,0.00,0.00,0.03,0.82,7.38
318,-4.04,-0.70,2.02,4.28,6.74,-0.35,2.93,5.24,7.20,9.74,95.26,97.61,98.76,99.41,99.79,0.00,0.00,1.36,13.18,33.63,14.00,31.33,40.00,53.00,68.00,0.00,0.00,0.04,0.98,7.80
319,-4.22,-0.81,1.87,4.17,6.60,-0.54,2.73,5.10,7.08,9.56,95.24,97.56,98.78,99.43,99.81,0.00,0.00,1.36,13.63,33.63,15.33,31.66,39.66,52.33,67.00,0.00,0.00,0.05,1.07,8.48
320,-4.54,-0.98,1.68,4.01,6.53,-0.76,2.57,4.91,6.93,9.50,95.07,97.53,98.79,99.43,99.80,0.00,0.00,1.36,14.09,32.72,16.33,31.66,39.33,51.66,66.33,0.00,0.00,0.07,1.20,9.19
321,-4.87,-1.17,1.56,3.86,6.49,-1.02,2.39,4.75,6.75,9.44,94.84,97.49,98.77,99.43,99.81,0.00,0.00,1.36,13.63,31.81,16.66,31.66,40.00,51.66,65.33,0.00,0.00,0.11,1.33,9.73
322,-5.15,-1.32,1.48,3.68,6.37,-1.30,2.18,4.70,6.64,9.25,94.72,97.50,98.79,99.44,99.82,0.00,0.00,1.82,13.18,31.81,16.33,32.00,40.66,52.00,65.00,0.00,0.00,0.18,1.44,10.00
323,-5.32,-1.46,1.34,3.50,6.27,-1.42,1.96,4.53,6.46,9.09,94.39,97.43,98.77,99.47,99.83,0.00,0.00,1.36,13.18,31.81,16.00,32.33,41.33,52.66,64.33,0.00,0.00,0.23,1.59,10.40
324,-5.57,-1.62,1.14,3.29,6.15,-1.64,1.74,4.25,6.25,8.92,94.23,97.34,98.78,99.47,99.83,0.00,0.00,1.36,12.27,31.81,16.00,32.33,43.00,53.66,64.66,0.00,0.01,0.29,1.76,10.77
325,-5.90,-1.82,0.98,3.06,6.03,-1.95,1.64,4.02,6.05,8.75,94.33,97.29,98.75,99.47,99.84,0.00,0.00,1.36,11.81,31.81,16.00,33.00,44.33,54.33,65.00,0.00,0.01,0.37,1.98,11.02
326,-6.21,-2.06,0.82,2.83,5.74,-2.32,1.42,3.82,5.87,8.52,94.25,97.25,98.71,99.47,99.84,0.00,0.00,1.36,10.91,32.27,16.00,33.00,45.66,54.66,65.00,0.00,0.02,0.45,2.20,11.25
327,-6.50,-2.33,0.61,2.58,5.60,-2.60,1.18,3.64,5.63,8.30,94.23,97.24,98.72,99.47,99.84,0.00,0.00,0.91,10.91,32.72,16.00,33.00,47.00,55.00,65.66,0.00,0.05,0.54,2.43,11.55
328,-6.80,-2.52,0.42,2.36,5.47,-2.95,1.00,3.42,5.46,8.18,94.15,97.26,98.73,99.47,99.85,0.00,0.00,0.45,10.91,33.18,16.33,33.00,47.66,56.00,67.00,0.00,0.07,0.62,2.69,11.99
329,-7.20,-2.71,0.27,2.18,5.39,-3.32,0.81,3.20,5.29,8.10,94.24,97.24,98.70,99.46,99.85,0.00,0.00,0.45,11.36,34.09,16.33,32.66,48.00,57.33,68.66,0.00,0.09,0.72,3.00,12.51
330,-7.46,-2.83,0.08,2.01,5.36,-3.63,0.58,2.95,5.16,8.09,94.23,97.27,98.71,99.46,99.85,0.00,0.00,0.45,11.82,35.45,16.66,32.66,48.33,58.33,70.00,0.00,0.12,0.82,3.33,13.08
331,-7.76,-2.96,-0.09,1.96,5.26,-4.00,0.35,2.76,5.08,8.03,94.16,97.25,98.72,99.47,99.86,0.00,0.00,0.91,12.73,37.27,17.33,32.66,48.00,59.00,71.33,0.00,0.14,0.95,3.74,13.80
332,-8.21,-3.13,-0.17,1.89,5.08,-4.32,0.16,2.63,5.05,7.92,94.17,97.26,98.71,99.47,99.86,0.00,0.00,0.45,13.63,38.63,17.66,32.66,47.33,59.66,72.33,0.00,0.14,1.05,4.20,14.66
333,-8.74,-3.32,-0.32,1.80,5.03,-4.68,0.04,2.58,5.04,7.80,94.23,97.24,98.70,99.47,99.86,0.00,0.00,0.45,14.54,40.00,18.33,32.66,47.00,60.00,74.00,0.00,0.14,1.14,4.72,15.57
334,-9.14,-3.37,-0.43,1.67,4.85,-4.89,-0.08,2.47,4.91,7.65,94.29,97.31,98.69,99.47,99.85,0.00,0.00,0.45,15.45,41.36,18.66,32.66,46.00,60.00,75.33,0.00,0.14,1.24,5.18,16.54
335,-9.52,-3.36,-0.49,1.62,4.78,-5.01,-0.13,2.42,4.85,7.52,94.35,97.33,98.71,99.49,99.86,0.00,0.00,0.45,16.36,43.18,19.33,32.66,45.00,60.00,77.00,0.00,0.15,1.44,5.68,17.45
336,-9.57,-3.40,-0.49,1.61,4.74,-5.15,-0.10,2.38,4.83,7.45,94.50,97.40,98.75,99.49,99.87,0.00,0.00,0.45,17.27,44.54,20.00,32.33,44.00,60.00,78.33,0.00,0.16,1.63,6.00,18.40
337,-9.72,-3.52,-0.52,1.50,4.60,-5.28,-0.20,2.21,4.74,7.38,94.71,97.40,98.74,99.49,99.87,0.00,0.00,0.91,17.73,45.45,19.66,31.66,42.67,60.00,78.66,0.00,0.17,1.77,6.32,19.25
338,-10.11,-3.66,-0.63,1.34,4.46,-5.57,-0.32,2.02,4.59,7.25,94.73,97.39,98.71,99.50,99.87,0.00,0.00,1.36,17.27,45.90,18.33,31.00,41.67,60.00,78.33,0.00,0.18,1.87,6.75,19.80
339,-10.53,-3.71,-0.71,1.20,4.39,-5.91,-0.40,1.91,4.45,7.20,94.90,97.47,98.73,99.51,99.88,0.00,0.00,1.36,16.36,44.99,17.33,30.33,41.33,59.66,78.00,0.00,0.21,1.95,7.20,20.14
340,-10.89,-3.76,-0.77,1.10,4.31,-6.24,-0.46,1.85,4.39,7.06,95.10,97.50,98.75,99.52,99.88,0.00,0.00,1.36,15.91,43.63,16.33,30.00,41.00,59.66,77.66,0.00,0.24,2.08,7.58,20.54
341,-11.19,-3.80,-0.81,1.01,4.20,-6.25,-0.49,1.73,4.36,6.93,95.32,97.57,98.77,99.53,99.89,0.00,0.00,0.91,15.00,41.81,15.66,29.33,40.67,59.66,77.33,0.00,0.27,2.20,7.86,21.10
342,-11.23,-3.83,-0.87,0.96,4.17,-6.22,-0.57,1.56,4.28,6.84,95.37,97.58,98.77,99.52,99.88,0.00,0.00,0.91,14.09,39.54,15.66,28.66,40.67,59.00,77.00,0.00,0.30,2.24,8.14,21.82
343,-11.22,-3.88,-0.90,0.91,4.21,-6.26,-0.59,1.49,4.26,6.84,95.65,97.65,98.81,99.53,99.88,0.00,0.00,0.91,13.18,37.72,16.00,28.66,40.67,58.00,76.00,0.00,0.31,2.27,8.40,22.43
344,-11.33,-3.95,-0.90,0.91,4.26,-6.33,-0.57,1.55,4.27,6.90,95.68,97.73,98.80,99.53,99.88,0.00,0.00,0.91,13.18,35.45,16.33,28.33,40.67,57.33,74.66,0.00,0.31,2.29,8.54,23.06
345,-11.40,-3.91,-0.90,0.90,4.31,-6.36,-0.59,1.59,4.31,6.91,95.61,97.79,98.84,99.54,99.88,0.00,0.00,0.91,12.73,33.63,16.33,28.33,40.67,56.66,73.33,0.00,0.32,2.31,8.64,23.73
346,-11.59,-3.88,-0.92,0.91,4.33,-6.55,-0.64,1.67,4.31,6.93,95.78,97.82,98.89,99.56,99.88,0.00,0.00,0.91,12.73,32.72,16.00,28.66,40.67,56.33,72.33,0.00,0.31,2.37,8.67,24.32
347,-11.62,-3.86,-0.90,1.04,4.30,-6.52,-0.67,1.69,4.40,6.95,95.73,97.80,98.88,99.56,99.88,0.00,0.00,0.45,12.73,31.81,16.00,29.33,40.67,55.66,71.67,0.00,0.31,2.40,8.74,24.82
348,-11.57,-3.86,-0.78,1.13,4.31,-6.56,-0.69,1.81,4.45,7.01,95.65,97.77,98.87,99.56,99.88,0.00,0.00,0.00,14.09,31.36,16.33,29.66,40.67,55.00,71.67,0.00,0.30,2.43,8.84,25.28
349,-11.65,-3.99,-0.84,1.21,4.24,-6.61,-0.71,1.94,4.52,7.04,95.49,97.78,98.88,99.56,99.88,0.00,0.00,0.00,15.45,31.81,16.33,30.00,41.00,55.00,72.00,0.00,0.28,2.43,8.83,25.71
350,-11.85,-4.03,-0.85,1.20,4.12,-6.67,-0.68,1.95,4.45,6.99,95.33,97.74,98.87,99.56,99.88,0.00,0.00,0.00,16.36,32.72,16.66,29.33,41.67,55.00,72.33,0.00,0.25,2.43,8.79,26.34
351,-11.92,-4.04,-0.92,1.05,4.07,-6.77,-0.65,1.94,4.33,6.98,95.37,97.74,98.84,99.54,99.88,0.00,0.00,0.91,17.72,33.63,16.33,29.66,42.33,55.33,72.66,0.00,0.24,2.40,8.71,26.97
352,-11.78,-4.07,-1.02,0.98,4.02,-6.79,-0.66,1.90,4.25,7.05,95.39,97.66,98.84,99.52,99.87,0.00,0.00,1.82,19.09,35.00,15.33,30.00,42.66,56.00,73.00,0.00,0.24,2.43,8.61,27.59
353,-11.64,-4.06,-1.08,0.89,3.98,-6.87,-0.70,1.78,4.13,7.00,95.10,97.70,98.83,99.53,99.88,0.00,0.00,2.73,19.99,35.90,14.00,30.00,43.00,56.66,74.00,0.00,0.28,2.55,8.52,28.18
354,-11.71,-4.12,-1.15,0.94,3.91,-7.04,-0.77,1.76,4.12,6.86,95.05,97.67,98.83,99.54,99.88,0.00,0.00,3.64,19.99,36.36,12.00,30.00,42.66,57.00,75.66,0.00,0.31,2.70,8.39,28.68
355,-11.71,-4.16,-1.24,0.96,3.83,-7.07,-0.77,1.78,4.09,6.86,95.10,97.70,98.85,99.54,99.89,0.00,0.00,4.55,20.45,36.36,11.33,29.66,43.00,57.00,77.33,0.00,0.33,2.66,8.28,29.16
356,-12.00,-4.18,-1.28,0.94,3.77,-7.33,-0.80,1.88,4.14,6.85,94.94,97.65,98.84,99.53,99.90,0.00,0.00,5.45,20.45,36.81,11.00,29.67,43.33,57.00,78.66,0.00,0.34,2.66,8.14,29.99
357,-11.99,-4.12,-1.29,0.93,3.78,-7.37,-0.74,1.97,4.18,6.83,94.73,97.66,98.88,99.55,99.90,0.00,0.00,6.36,20.45,36.36,11.33,29.33,44.00,58.33,80.00,0.00,0.37,2.65,7.97,30.28
358,-11.90,-4.25,-1.24,1.01,3.76,-7.37,-0.86,1.99,4.19,6.84,94.48,97.58,98.87,99.56,99.91,0.00,0.00,7.27,20.00,35.90,11.33,29.33,44.66,59.66,80.33,0.00,0.39,2.69,7.68,30.59
359,-11.85,-4.47,-1.32,1.01,3.69,-7.27,-1.02,2.02,4.20,6.78,94.31,97.50,98.78,99.50,99.91,0.00,0.00,7.73,19.54,35.90,11.33,29.67,45.33,60.66,81.00,0.00,0.40,2.74,7.45,30.88
